"","any","Competencia","Percentatge","nivell_territorial"
"1",1991,"Entendre",98,"Catalunya"
"2",1991,"Escriure",47,"Catalunya"
"3",1991,"Llegir",80,"Catalunya"
"4",1991,"Parlar",87,"Catalunya"
"5",1996,"Entendre",98,"Catalunya"
"6",1996,"Escriure",52,"Catalunya"
"7",1996,"Llegir",84,"Catalunya"
"8",1996,"Parlar",90,"Catalunya"
"9",2001,"Entendre",98,"Catalunya"
"10",2001,"Escriure",60,"Catalunya"
"11",2001,"Llegir",85,"Catalunya"
"12",2001,"Parlar",88,"Catalunya"
"13",2011,"Entendre",98,"Catalunya"
"14",2011,"Escriure",65,"Catalunya"
"15",2011,"Llegir",87,"Catalunya"
"16",2011,"Parlar",86,"Catalunya"
