"","any","idMunicipi","nomMunicipi","idComarca","nomComarca","nomAT","idAT","entendre","parlar","llegir","escriure","poblacio_2_anys_i_mes","entendre_pct","parlar_pct","llegir_pct","escriure_pct","entendre_com","parlar_com","llegir_com","escriure_com","entendre_at","parlar_at","llegir_at","escriure_at"
"1",2011,"080018","Abrera","11","Baix Llobregat","Metropolità","AT01",10796,7703,8748,6099,11351,95,68,77,54,96,74,79,57,97,79,82,61
"2",2001,"080018","Abrera","11","Baix Llobregat","Metropolità","AT01",7902,5828,6004,3872,8385,94,70,72,46,95,73,74,49,96,78,78,54
"3",1996,"080018","Abrera","11","Baix Llobregat","Metropolità","AT01",6466,4704,4725,2864,6871,94,68,69,42,94,72,70,44,96,78,75,49
"4",1991,"080018","Abrera","11","Baix Llobregat","Metropolità","AT01",4927,3259,3321,2045,5364,92,61,62,38,93,64,65,38,95,73,72,46
"5",2011,"080023","Aguilar de Segarra","07","Bages","Comarques Centrals","AT06",NA,NA,NA,NA,NA,NA,NA,NA,NA,98,85,87,66,99,91,91,72
"6",2001,"080023","Aguilar de Segarra","07","Bages","Comarques Centrals","AT06",214,201,194,142,215,100,93,90,66,98,87,85,64,99,91,89,68
"7",1996,"080023","Aguilar de Segarra","07","Bages","Comarques Centrals","AT06",203,194,184,82,203,100,96,91,40,98,88,84,56,99,93,88,60
"8",1991,"080023","Aguilar de Segarra","07","Bages","Comarques Centrals","AT06",189,179,168,76,190,99,94,88,40,98,85,80,51,99,90,83,54
"9",2011,"080039","Alella","21","Maresme","Metropolità","AT01",8923,7696,7917,6068,9158,97,84,86,66,98,83,86,64,97,79,82,61
"10",2001,"080039","Alella","21","Maresme","Metropolità","AT01",7922,7118,6944,4875,8121,98,88,86,60,97,82,81,57,96,78,78,54
"11",1996,"080039","Alella","21","Maresme","Metropolità","AT01",7323,6562,6265,4175,7558,97,87,83,55,97,84,80,53,96,78,75,49
"12",1991,"080039","Alella","21","Maresme","Metropolità","AT01",6579,5635,5424,3496,6782,97,83,80,52,97,81,78,51,95,73,72,46
"13",2011,"080044","Alpens","24","Osona","Comarques Centrals","AT06",287,275,262,231,287,100,96,91,80,99,91,91,74,99,91,91,72
"14",2001,"080044","Alpens","24","Osona","Comarques Centrals","AT06",268,261,254,234,272,99,96,93,86,98,91,89,68,99,91,89,68
"15",1996,"080044","Alpens","24","Osona","Comarques Centrals","AT06",253,244,228,178,253,100,96,90,70,99,93,89,61,99,93,88,60
"16",1991,"080044","Alpens","24","Osona","Comarques Centrals","AT06",244,234,224,100,244,100,96,92,41,99,91,85,56,99,90,83,54
"17",2011,"080057","Ametlla del Vallès, l'","41","Vallès Oriental","Metropolità","AT01",7807,6913,6974,5645,7885,99,88,88,72,97,81,84,62,97,79,82,61
"18",2001,"080057","Ametlla del Vallès, l'","41","Vallès Oriental","Metropolità","AT01",5751,4898,4823,3613,5889,98,83,82,61,96,81,79,56,96,78,78,54
"19",1996,"080057","Ametlla del Vallès, l'","41","Vallès Oriental","Metropolità","AT01",4592,4124,3952,2805,4675,98,88,85,60,96,81,77,51,96,78,75,49
"20",1991,"080057","Ametlla del Vallès, l'","41","Vallès Oriental","Metropolità","AT01",3218,2715,2656,1816,3274,98,83,81,55,96,77,75,49,95,73,72,46
"21",2011,"080060","Arenys de Mar","21","Maresme","Metropolità","AT01",13987,11919,12354,8939,14170,99,84,87,63,98,83,86,64,97,79,82,61
"22",2001,"080060","Arenys de Mar","21","Maresme","Metropolità","AT01",11792,9739,9685,6832,12214,97,80,79,56,97,82,81,57,96,78,78,54
"23",1996,"080060","Arenys de Mar","21","Maresme","Metropolità","AT01",11228,9724,9292,6010,11572,97,84,80,52,97,84,80,53,96,78,75,49
"24",1991,"080060","Arenys de Mar","21","Maresme","Metropolità","AT01",10528,8918,8604,5510,10813,97,82,80,51,97,81,78,51,95,73,72,46
"25",2011,"080076","Arenys de Munt","21","Maresme","Metropolità","AT01",8134,7235,7243,5680,8153,100,89,89,70,98,83,86,64,97,79,82,61
"26",2001,"080076","Arenys de Munt","21","Maresme","Metropolità","AT01",6315,5555,5469,3988,6421,98,87,85,62,97,82,81,57,96,78,78,54
"27",1996,"080076","Arenys de Munt","21","Maresme","Metropolità","AT01",5264,4739,4461,3125,5358,98,88,83,58,97,84,80,53,96,78,75,49
"28",1991,"080076","Arenys de Munt","21","Maresme","Metropolità","AT01",4570,4219,4072,3410,4651,98,91,88,73,97,81,78,51,95,73,72,46
"29",2011,"080082","Argençola","06","Anoia","Penedès","AT08",240,213,240,180,240,100,89,100,75,98,86,88,66,97,82,84,62
"30",2001,"080082","Argençola","06","Anoia","Penedès","AT08",189,185,175,148,190,99,97,92,78,98,87,85,63,97,83,81,56
"31",1996,"080082","Argençola","06","Anoia","Penedès","AT08",159,150,135,108,159,100,94,85,68,98,89,84,55,97,85,80,51
"32",1991,"080082","Argençola","06","Anoia","Penedès","AT08",191,172,154,62,192,99,90,80,32,98,85,79,52,98,82,79,48
"33",2011,"080095","Argentona","21","Maresme","Metropolità","AT01",11307,9683,10088,7480,11467,99,84,88,65,98,83,86,64,97,79,82,61
"34",2001,"080095","Argentona","21","Maresme","Metropolità","AT01",9403,8070,7935,6111,9608,98,84,83,64,97,82,81,57,96,78,78,54
