"","id","territori","competencia","percentatge_comp","origen"
"1","AT01","Metropolità","Entendre",99.73,"Catalunya"
"2","AT01","Metropolità","Entendre",90.79,"Estat"
"3","AT01","Metropolità","Entendre",80.48,"Estranger"
"4","AT01","Metropolità","Parlar",97.66,"Catalunya"
"5","AT01","Metropolità","Parlar",57.6,"Estat"
"6","AT01","Metropolità","Parlar",47.9,"Estranger"
"7","AT01","Metropolità","Llegir",97.87,"Catalunya"
"8","AT01","Metropolità","Llegir",66.98,"Estat"
"9","AT01","Metropolità","Llegir",62.58,"Estranger"
"10","AT01","Metropolità","Escriure",86.34,"Catalunya"
"11","AT01","Metropolità","Escriure",24.31,"Estat"
"12","AT01","Metropolità","Escriure",35.29,"Estranger"
"13","AT02","Comarques Gironines","Entendre",99.76,"Catalunya"
"14","AT02","Comarques Gironines","Entendre",93.87,"Estat"
"15","AT02","Comarques Gironines","Entendre",82.52,"Estranger"
"16","AT02","Comarques Gironines","Parlar",99.76,"Catalunya"
"17","AT02","Comarques Gironines","Parlar",75.68,"Estat"
"18","AT02","Comarques Gironines","Parlar",61.89,"Estranger"
"19","AT02","Comarques Gironines","Llegir",97.84,"Catalunya"
"20","AT02","Comarques Gironines","Llegir",79.07,"Estat"
"21","AT02","Comarques Gironines","Llegir",69.2,"Estranger"
"22","AT02","Comarques Gironines","Escriure",89.92,"Catalunya"
"23","AT02","Comarques Gironines","Escriure",44.49,"Estat"
"24","AT02","Comarques Gironines","Escriure",39.63,"Estranger"
"25","AT03","Camp de Tarragona","Entendre",100,"Catalunya"
"26","AT03","Camp de Tarragona","Entendre",91.18,"Estat"
"27","AT03","Camp de Tarragona","Entendre",81.61,"Estranger"
"28","AT03","Camp de Tarragona","Parlar",98.95,"Catalunya"
"29","AT03","Camp de Tarragona","Parlar",65.58,"Estat"
"30","AT03","Camp de Tarragona","Parlar",51.28,"Estranger"
"31","AT03","Camp de Tarragona","Llegir",97.57,"Catalunya"
"32","AT03","Camp de Tarragona","Llegir",73.63,"Estat"
"33","AT03","Camp de Tarragona","Llegir",73.09,"Estranger"
"34","AT03","Camp de Tarragona","Escriure",86.77,"Catalunya"
"35","AT03","Camp de Tarragona","Escriure",36.19,"Estat"
"36","AT03","Camp de Tarragona","Escriure",45,"Estranger"
"37","AT04","Terres de l'Ebre","Entendre",100,"Catalunya"
"38","AT04","Terres de l'Ebre","Entendre",93.76,"Estat"
"39","AT04","Terres de l'Ebre","Entendre",83.2,"Estranger"
"40","AT04","Terres de l'Ebre","Parlar",99.46,"Catalunya"
"41","AT04","Terres de l'Ebre","Parlar",74.46,"Estat"
"42","AT04","Terres de l'Ebre","Parlar",54.45,"Estranger"
"43","AT04","Terres de l'Ebre","Llegir",96.85,"Catalunya"
"44","AT04","Terres de l'Ebre","Llegir",61.49,"Estat"
"45","AT04","Terres de l'Ebre","Llegir",62.47,"Estranger"
"46","AT04","Terres de l'Ebre","Escriure",83.9,"Catalunya"
"47","AT04","Terres de l'Ebre","Escriure",31.38,"Estat"
"48","AT04","Terres de l'Ebre","Escriure",37.33,"Estranger"
"49","AT05","Ponent","Entendre",100,"Catalunya"
"50","AT05","Ponent","Entendre",97.29,"Estat"
"51","AT05","Ponent","Entendre",77.71,"Estranger"
"52","AT05","Ponent","Parlar",99.2,"Catalunya"
"53","AT05","Ponent","Parlar",77.42,"Estat"
"54","AT05","Ponent","Parlar",48.17,"Estranger"
"55","AT05","Ponent","Llegir",98.42,"Catalunya"
"56","AT05","Ponent","Llegir",85.38,"Estat"
"57","AT05","Ponent","Llegir",59.51,"Estranger"
"58","AT05","Ponent","Escriure",90.09,"Catalunya"
"59","AT05","Ponent","Escriure",49.08,"Estat"
"60","AT05","Ponent","Escriure",38.89,"Estranger"
"61","AT06","Comarques Centrals","Entendre",100,"Catalunya"
"62","AT06","Comarques Centrals","Entendre",90.17,"Estat"
"63","AT06","Comarques Centrals","Entendre",83.74,"Estranger"
"64","AT06","Comarques Centrals","Parlar",99,"Catalunya"
"65","AT06","Comarques Centrals","Parlar",67.32,"Estat"
"66","AT06","Comarques Centrals","Parlar",64.2,"Estranger"
"67","AT06","Comarques Centrals","Llegir",99.27,"Catalunya"
"68","AT06","Comarques Centrals","Llegir",69.86,"Estat"
"69","AT06","Comarques Centrals","Llegir",67.6,"Estranger"
"70","AT06","Comarques Centrals","Escriure",91.65,"Catalunya"
"71","AT06","Comarques Centrals","Escriure",27.5,"Estat"
"72","AT06","Comarques Centrals","Escriure",46.72,"Estranger"
"73","AT07","Alt Pirineu i Aran","Entendre",99.9,"Catalunya"
"74","AT07","Alt Pirineu i Aran","Entendre",94.49,"Estat"
"75","AT07","Alt Pirineu i Aran","Entendre",89.31,"Estranger"
"76","AT07","Alt Pirineu i Aran","Parlar",99.81,"Catalunya"
"77","AT07","Alt Pirineu i Aran","Parlar",73.53,"Estat"
"78","AT07","Alt Pirineu i Aran","Parlar",66.27,"Estranger"
"79","AT07","Alt Pirineu i Aran","Llegir",98.42,"Catalunya"
"80","AT07","Alt Pirineu i Aran","Llegir",80.49,"Estat"
"81","AT07","Alt Pirineu i Aran","Llegir",76.34,"Estranger"
"82","AT07","Alt Pirineu i Aran","Escriure",86.05,"Catalunya"
"83","AT07","Alt Pirineu i Aran","Escriure",47.16,"Estat"
"84","AT07","Alt Pirineu i Aran","Escriure",47.66,"Estranger"
"85","AT08","Penedès","Entendre",99.75,"Catalunya"
"86","AT08","Penedès","Entendre",94.89,"Estat"
"87","AT08","Penedès","Entendre",88.64,"Estranger"
"88","AT08","Penedès","Parlar",97.05,"Catalunya"
"89","AT08","Penedès","Parlar",67.69,"Estat"
"90","AT08","Penedès","Parlar",55.58,"Estranger"
"91","AT08","Penedès","Llegir",98.29,"Catalunya"
"92","AT08","Penedès","Llegir",77.19,"Estat"
"93","AT08","Penedès","Llegir",70.95,"Estranger"
"94","AT08","Penedès","Escriure",86.75,"Catalunya"
"95","AT08","Penedès","Escriure",29.02,"Estat"
"96","AT08","Penedès","Escriure",40.35,"Estranger"
