"","any","idMunicipi","nomMunicipi","idComarca","nomComarca","nomAT","idAT","entendre","parlar","llegir","escriure","poblacio_2_anys_i_mes","catalunya","restaEstat","estranger","total","entendre_pct","escriure_pct","llegir_pct","parlar_pct","catalunya_pct","estat_pct","estranger_pct"
"1",2011,"080018","Abrera",11,"Baix Llobregat","Metropolità","AT01",10796,7703,8748,6099,11351,7557,2889,1165,11611,93,53,75,66,65,25,10
"2",2011,"080023","Aguilar de Segarra",7,"Bages","Comarques Centrals","AT06",NA,NA,NA,NA,NA,225,14,6,245,NA,NA,NA,NA,92,6,2
"3",2011,"080039","Alella",21,"Maresme","Metropolità","AT01",8923,7696,7917,6068,9158,7224,1299,1047,9570,93,63,83,80,75,14,11
"4",2011,"080044","Alpens",24,"Osona","Comarques Centrals","AT06",287,275,262,231,287,273,9,20,302,95,76,87,91,90,3,7
"5",2011,"080057","Ametlla del Vallès, l'",41,"Vallès Oriental","Metropolità","AT01",7807,6913,6974,5645,7885,6264,1045,802,8111,96,70,86,85,77,13,10
"6",2011,"080060","Arenys de Mar",21,"Maresme","Metropolità","AT01",13987,11919,12354,8939,14170,10281,2459,2123,14863,94,60,83,80,69,17,14
"7",2011,"080076","Arenys de Munt",21,"Maresme","Metropolità","AT01",8134,7235,7243,5680,8153,6820,999,681,8500,96,67,85,85,80,12,8
"8",2011,"080082","Argençola",6,"Anoia","Penedès","AT08",240,213,240,180,240,194,7,37,238,101,76,101,89,82,3,16
"9",2011,"080095","Argentona",21,"Maresme","Metropolità","AT01",11307,9683,10088,7480,11467,9125,1909,742,11776,96,64,86,82,77,16,6
"10",2011,"080109","Artés",7,"Bages","Comarques Centrals","AT06",5233,4621,4756,3732,5329,4258,755,562,5575,94,67,85,83,76,14,10
"11",2011,"080116","Avià",14,"Berguedà","Comarques Centrals","AT06",2160,2049,1945,1577,2187,2026,93,126,2245,96,70,87,91,90,4,6
"12",2011,"080121","Avinyó",7,"Bages","Comarques Centrals","AT06",2166,2008,2010,1646,2185,1849,213,259,2321,93,71,87,87,80,9,11
"13",2011,"080137","Avinyonet del Penedès",3,"Alt Penedès","Penedès","AT08",1625,1367,1383,1011,1683,1330,187,193,1710,95,59,81,80,78,11,11
"14",2011,"080142","Aiguafreda",41,"Vallès Oriental","Metropolità","AT01",2362,2062,2047,1574,2369,1971,338,172,2481,95,63,83,83,79,14,7
"15",2011,"080155","Badalona",13,"Barcelonès","Metropolità","AT01",194190,132370,149188,99502,213700,132405,52430,34951,219786,88,45,68,60,60,24,16
"16",2011,"080168","Bagà",14,"Berguedà","Comarques Centrals","AT06",2280,2110,2129,1681,2289,1826,412,134,2372,96,71,90,89,77,17,6
"17",2011,"080174","Balenyà",24,"Osona","Comarques Centrals","AT06",3561,3033,3129,2335,3622,2802,557,336,3695,96,63,85,82,76,15,9
"18",2011,"080180","Balsareny",7,"Bages","Comarques Centrals","AT06",3289,2814,2941,2204,3365,2476,656,362,3494,94,63,84,81,71,19,10
"19",2011,"080193","Barcelona",13,"Barcelonès","Metropolità","AT01",1501262,1137816,1246555,835080,1573318,954630,318959,341859,1615448,93,52,77,70,59,20,21
"20",2011,"080207","Begues",11,"Baix Llobregat","Metropolità","AT01",6248,5367,5473,4108,6396,4901,920,605,6426,97,64,85,84,76,14,9
