"","id","territori","Prioritat","percentatge","Llengua"
"1","AT01","Metropolità","Inicial",24,"Català"
"2","AT01","Metropolità","Inicial",61,"Castellà"
"3","AT01","Metropolità","Inicial",10,"Altres llengües"
"4","AT01","Metropolità","Identificació",29,"Català"
"5","AT01","Metropolità","Identificació",55,"Castellà"
"6","AT01","Metropolità","Identificació",7,"Altres llengües"
"7","AT01","Metropolità","Habitual",28,"Català"
"8","AT01","Metropolità","Habitual",58,"Castellà"
"9","AT01","Metropolità","Habitual",4,"Altres llengües"
"10","AT02","Comarques Gironines","Inicial",45,"Català"
"11","AT02","Comarques Gironines","Inicial",36,"Castellà"
"12","AT02","Comarques Gironines","Inicial",14,"Altres llengües"
"13","AT02","Comarques Gironines","Identificació",52,"Català"
"14","AT02","Comarques Gironines","Identificació",29,"Castellà"
"15","AT02","Comarques Gironines","Identificació",11,"Altres llengües"
"16","AT02","Comarques Gironines","Habitual",54,"Català"
"17","AT02","Comarques Gironines","Habitual",29,"Castellà"
"18","AT02","Comarques Gironines","Habitual",6,"Altres llengües"
"19","AT03","Camp de Tarragona","Inicial",36,"Català"
"20","AT03","Camp de Tarragona","Inicial",46,"Castellà"
"21","AT03","Camp de Tarragona","Inicial",14,"Altres llengües"
"22","AT03","Camp de Tarragona","Identificació",39,"Català"
"23","AT03","Camp de Tarragona","Identificació",40,"Castellà"
"24","AT03","Camp de Tarragona","Identificació",11,"Altres llengües"
"25","AT03","Camp de Tarragona","Habitual",40,"Català"
"26","AT03","Camp de Tarragona","Habitual",41,"Castellà"
"27","AT03","Camp de Tarragona","Habitual",6,"Altres llengües"
"28","AT04","Terres de l'Ebre","Inicial",67,"Català"
"29","AT04","Terres de l'Ebre","Inicial",15,"Castellà"
"30","AT04","Terres de l'Ebre","Inicial",16,"Altres llengües"
"31","AT04","Terres de l'Ebre","Identificació",67,"Català"
"32","AT04","Terres de l'Ebre","Identificació",12,"Castellà"
"33","AT04","Terres de l'Ebre","Identificació",14,"Altres llengües"
"34","AT04","Terres de l'Ebre","Habitual",72,"Català"
"35","AT04","Terres de l'Ebre","Habitual",12,"Castellà"
"36","AT04","Terres de l'Ebre","Habitual",8,"Altres llengües"
"37","AT05","Ponent","Inicial",48,"Català"
"38","AT05","Ponent","Inicial",28,"Castellà"
"39","AT05","Ponent","Inicial",19,"Altres llengües"
"40","AT05","Ponent","Identificació",55,"Català"
"41","AT05","Ponent","Identificació",21,"Castellà"
"42","AT05","Ponent","Identificació",15,"Altres llengües"
"43","AT05","Ponent","Habitual",57,"Català"
"44","AT05","Ponent","Habitual",23,"Castellà"
"45","AT05","Ponent","Habitual",7,"Altres llengües"
"46","AT06","Comarques Centrals","Inicial",51,"Català"
"47","AT06","Comarques Centrals","Inicial",35,"Castellà"
"48","AT06","Comarques Centrals","Inicial",10,"Altres llengües"
"49","AT06","Comarques Centrals","Identificació",57,"Català"
"50","AT06","Comarques Centrals","Identificació",27,"Castellà"
"51","AT06","Comarques Centrals","Identificació",7,"Altres llengües"
"52","AT06","Comarques Centrals","Habitual",60,"Català"
"53","AT06","Comarques Centrals","Habitual",27,"Castellà"
"54","AT06","Comarques Centrals","Habitual",5,"Altres llengües"
"55","AT07","Alt Pirineu i Aran","Inicial",50,"Català"
"56","AT07","Alt Pirineu i Aran","Inicial",33,"Castellà"
"57","AT07","Alt Pirineu i Aran","Inicial",9,"Altres llengües"
"58","AT07","Alt Pirineu i Aran","Identificació",57,"Català"
"59","AT07","Alt Pirineu i Aran","Identificació",25,"Castellà"
"60","AT07","Alt Pirineu i Aran","Identificació",7,"Altres llengües"
"61","AT07","Alt Pirineu i Aran","Habitual",59,"Català"
"62","AT07","Alt Pirineu i Aran","Habitual",26,"Castellà"
"63","AT07","Alt Pirineu i Aran","Habitual",3,"Altres llengües"
"64","AT08","Penedès","Inicial",35,"Català"
"65","AT08","Penedès","Inicial",54,"Castellà"
"66","AT08","Penedès","Inicial",7,"Altres llengües"
"67","AT08","Penedès","Identificació",40,"Català"
"68","AT08","Penedès","Identificació",45,"Castellà"
"69","AT08","Penedès","Identificació",6,"Altres llengües"
"70","AT08","Penedès","Habitual",39,"Català"
"71","AT08","Penedès","Habitual",47,"Castellà"
"72","AT08","Penedès","Habitual",4,"Altres llengües"
