"","idMunicipi","nomMunicipi","idComarca","nomComarca","nomAT","idAT"
"1","080018","Abrera","11","Baix Llobregat","Metropolità","AT01"
"2","080023","Aguilar de Segarra","07","Bages","Comarques Centrals","AT06"
"3","080039","Alella","21","Maresme","Metropolità","AT01"
"4","080044","Alpens","24","Osona","Comarques Centrals","AT06"
"5","080057","Ametlla del Vallès, l'","41","Vallès Oriental","Metropolità","AT01"
"6","080060","Arenys de Mar","21","Maresme","Metropolità","AT01"
"7","080076","Arenys de Munt","21","Maresme","Metropolità","AT01"
"8","080082","Argençola","06","Anoia","Penedès","AT08"
"9","080095","Argentona","21","Maresme","Metropolità","AT01"
"10","080109","Artés","07","Bages","Comarques Centrals","AT06"
"11","080116","Avià","14","Berguedà","Comarques Centrals","AT06"
"12","080121","Avinyó","07","Bages","Comarques Centrals","AT06"
"13","080137","Avinyonet del Penedès","03","Alt Penedès","Penedès","AT08"
"14","080142","Aiguafreda","41","Vallès Oriental","Metropolità","AT01"
"15","080155","Badalona","13","Barcelonès","Metropolità","AT01"
"16","080168","Bagà","14","Berguedà","Comarques Centrals","AT06"
"17","080174","Balenyà","24","Osona","Comarques Centrals","AT06"
"18","080180","Balsareny","07","Bages","Comarques Centrals","AT06"
"19","080193","Barcelona","13","Barcelonès","Metropolità","AT01"
"20","080207","Begues","11","Baix Llobregat","Metropolità","AT01"
"21","080214","Bellprat","06","Anoia","Penedès","AT08"
"22","080229","Berga","14","Berguedà","Comarques Centrals","AT06"
"23","080235","Bigues i Riells","41","Vallès Oriental","Metropolità","AT01"
"24","080240","Borredà","14","Berguedà","Comarques Centrals","AT06"
"25","080253","Bruc, el","06","Anoia","Penedès","AT08"
"26","080266","Brull, el","24","Osona","Comarques Centrals","AT06"
"27","080272","Cabanyes, les","03","Alt Penedès","Penedès","AT08"
"28","080288","Cabrera d'Anoia","06","Anoia","Penedès","AT08"
"29","080291","Cabrera de Mar","21","Maresme","Metropolità","AT01"
"30","080305","Cabrils","21","Maresme","Metropolità","AT01"
"31","080312","Calaf","06","Anoia","Comarques Centrals","AT06"
"32","080327","Caldes d'Estrac","21","Maresme","Metropolità","AT01"
"33","080333","Caldes de Montbui","41","Vallès Oriental","Metropolità","AT01"
"34","080348","Calders","42","Moianès","Comarques Centrals","AT06"
"35","080351","Calella","21","Maresme","Metropolità","AT01"
"36","080364","Calonge de Segarra","06","Anoia","Comarques Centrals","AT06"
"37","080370","Calldetenes","24","Osona","Comarques Centrals","AT06"
"38","080386","Callús","07","Bages","Comarques Centrals","AT06"
"39","080399","Campins","41","Vallès Oriental","Metropolità","AT01"
"40","080403","Canet de Mar","21","Maresme","Metropolità","AT01"
"41","080410","Canovelles","41","Vallès Oriental","Metropolità","AT01"
"42","080425","Cànoves i Samalús","41","Vallès Oriental","Metropolità","AT01"
"43","080431","Canyelles","17","Garraf","Penedès","AT08"
"44","080446","Capellades","06","Anoia","Penedès","AT08"
"45","080459","Capolat","14","Berguedà","Comarques Centrals","AT06"
"46","080462","Cardedeu","41","Vallès Oriental","Metropolità","AT01"
"47","080478","Cardona","07","Bages","Comarques Centrals","AT06"
"48","080484","Carme","06","Anoia","Penedès","AT08"
"49","080497","Casserres","14","Berguedà","Comarques Centrals","AT06"
"50","080500","Castellar del Riu","14","Berguedà","Comarques Centrals","AT06"
"51","080517","Castellar del Vallès","40","Vallès Occidental","Metropolità","AT01"
