"","id","territori","Ús","percentatge"
"1","AT01","Metropolità","Molt",0.109991742563421
"2","AT01","Metropolità","Força",0.166122522769026
"3","AT01","Metropolità","Mitjanament",0.163698794121096
"4","AT01","Metropolità","Poc",0.285690937341203
"5","AT01","Metropolità","Mai",0.274496003205253
"6","AT02","Comarques Gironines","Molt",0.349263640006124
"7","AT02","Comarques Gironines","Força",0.203680659841099
"8","AT02","Comarques Gironines","Mitjanament",0.12859018251825
"9","AT02","Comarques Gironines","Poc",0.163051374180329
"10","AT02","Comarques Gironines","Mai",0.155414143454198
"11","AT03","Camp de Tarragona","Molt",0.21698455760082
"12","AT03","Camp de Tarragona","Força",0.186888415540923
"13","AT03","Camp de Tarragona","Mitjanament",0.137660998054956
"14","AT03","Camp de Tarragona","Poc",0.232838630744644
"15","AT03","Camp de Tarragona","Mai",0.225627398058657
"16","AT04","Terres de l Ebre","Molt",0.551148335094617
"17","AT04","Terres de l Ebre","Força",0.170277845238955
"18","AT04","Terres de l Ebre","Mitjanament",0.0875740887818262
"19","AT04","Terres de l Ebre","Poc",0.0871671337897356
"20","AT04","Terres de l Ebre","Mai",0.103832597094866
"21","AT05","Ponent","Molt",0.348023801942366
"22","AT05","Ponent","Força",0.197231730616144
"23","AT05","Ponent","Mitjanament",0.145332484211644
"24","AT05","Ponent","Poc",0.140138247625113
"25","AT05","Ponent","Mai",0.169273735604734
"26","AT06","Comaques Centrals","Molt",0.408868077474679
"27","AT06","Comaques Centrals","Força",0.202933063326019
"28","AT06","Comaques Centrals","Mitjanament",0.129894501174354
"29","AT06","Comaques Centrals","Poc",0.14758552293627
"30","AT06","Comaques Centrals","Mai",0.110718835088678
"31","AT07","Alt Pirineu i Aran","Molt",0.396564019448946
"32","AT07","Alt Pirineu i Aran","Força",0.199756888168558
"33","AT07","Alt Pirineu i Aran","Mitjanament",0.119303079416532
"34","AT07","Alt Pirineu i Aran","Poc",0.165737439222042
"35","AT07","Alt Pirineu i Aran","Mai",0.118638573743922
"36","AT08","Penedès","Molt",0.187688307870857
"37","AT08","Penedès","Força",0.180040696039105
"38","AT08","Penedès","Mitjanament",0.178353052076233
"39","AT08","Penedès","Poc",0.259562682289621
"40","AT08","Penedès","Mai",0.194355261724184
