Municipi,Nom comarca,Àmbit territorial,Descàrrega
Abella de la Conca,Pallars Jussà,Alt Pirineu i Aran,#català947 Abella de la Conca
Abrera,Baix Llobregat,Metropolità,#català947 Abrera
Àger,Noguera,Ponent,#català947 Àger
Agramunt,Urgell,Ponent,#català947 Agramunt
Aguilar de Segarra,Bages,Comarques Centrals,#català947 Aguilar de Segarra
Agullana,Alt Empordà,Comarques Gironines,#català947 Agullana
Aiguafreda,Vallès Oriental,Metropolità,#català947 Aiguafreda
Aiguamúrcia,Alt Camp,Camp de Tarragona,#català947 Aiguamúrcia
Aiguaviva,Gironès,Comarques Gironines,#català947 Aiguaviva
Aitona,Segrià,Ponent,#català947 Aitona
"Alamús, els",Segrià,Ponent,"#català947 Alamús, els"
Alàs i Cerc,Alt Urgell,Alt Pirineu i Aran,#català947 Alàs i Cerc
"Albagés, l'",Garrigues,Ponent,"#català947 Albagés, l'"
Albanyà,Alt Empordà,Comarques Gironines,#català947 Albanyà
Albatàrrec,Segrià,Ponent,#català947 Albatàrrec
Albesa,Noguera,Ponent,#català947 Albesa
"Albi, l'",Garrigues,Ponent,"#català947 Albi, l'"
Albinyana,Baix Penedès,Penedès,#català947 Albinyana
"Albiol, l'",Baix Camp,Camp de Tarragona,"#català947 Albiol, l'"
Albons,Baix Empordà,Comarques Gironines,#català947 Albons
Alcanar,Montsià,Terres de l'Ebre,#català947 Alcanar
Alcanó,Segrià,Ponent,#català947 Alcanó
Alcarràs,Segrià,Ponent,#català947 Alcarràs
Alcoletge,Segrià,Ponent,#català947 Alcoletge
Alcover,Alt Camp,Camp de Tarragona,#català947 Alcover
"Aldea, l'",Baix Ebre,Terres de l'Ebre,"#català947 Aldea, l'"
Aldover,Baix Ebre,Terres de l'Ebre,#català947 Aldover
"Aleixar, l'",Baix Camp,Camp de Tarragona,"#català947 Aleixar, l'"
Alella,Maresme,Metropolità,#català947 Alella
Alfara de Carles,Baix Ebre,Terres de l'Ebre,#català947 Alfara de Carles
Alfarràs,Segrià,Ponent,#català947 Alfarràs
Alfés,Segrià,Ponent,#català947 Alfés
Alforja,Baix Camp,Camp de Tarragona,#català947 Alforja
Algerri,Noguera,Ponent,#català947 Algerri
Alguaire,Segrià,Ponent,#català947 Alguaire
Alins,Pallars Sobirà,Alt Pirineu i Aran,#català947 Alins
Alió,Alt Camp,Camp de Tarragona,#català947 Alió
Almacelles,Segrià,Ponent,#català947 Almacelles
Almatret,Segrià,Ponent,#català947 Almatret
Almenar,Segrià,Ponent,#català947 Almenar
Almoster,Baix Camp,Camp de Tarragona,#català947 Almoster
Alòs de Balaguer,Noguera,Ponent,#català947 Alòs de Balaguer
Alp,Cerdanya,Alt Pirineu i Aran,#català947 Alp
Alpens,Osona,Comarques Centrals,#català947 Alpens
Alpicat,Segrià,Ponent,#català947 Alpicat
Alt Àneu,Pallars Sobirà,Alt Pirineu i Aran,#català947 Alt Àneu
Altafulla,Tarragonès,Camp de Tarragona,#català947 Altafulla
Amer,Selva,Comarques Gironines,#català947 Amer
"Ametlla de Mar, l'",Baix Ebre,Terres de l'Ebre,"#català947 Ametlla de Mar, l'"
"Ametlla del Vallès, l'",Vallès Oriental,Metropolità,"#català947 Ametlla del Vallès, l'"
"Ampolla, l'",Baix Ebre,Terres de l'Ebre,"#català947 Ampolla, l'"
Amposta,Montsià,Terres de l'Ebre,#català947 Amposta
Anglès,Selva,Comarques Gironines,#català947 Anglès
Anglesola,Urgell,Ponent,#català947 Anglesola
Arbeca,Garrigues,Ponent,#català947 Arbeca
